"","Hybrid_ID","Nfinal","Phyllochron","Leaf_tip_emerg","First_LiguloChrone","tt_firstligule_sinceapp","c","a","potKernelWt","GNmax","GrainNoMax","Res.Tnight","resp.Ri","GN15cor","SensiRAD","b"
"72","F05101_H",16,0.0240754053315713,3.27479225497132,0.0165140268555013,75.8365561493358,6.24948878601639,5.42502907387043,386.852926278447,639.437788564203,4426.2072250335,-382.659412293903,5195.91638770565,7.29689036087084,0.2,-0.840911249980043
"73","F05404_H",16,0.0234531141385017,3.30207408761047,0.0164354756837659,64.8052086976113,5.1731994077222,4.52050286826837,360.251713135316,771.900863753061,4609.13695132648,-318.54486338603,5136.1353872006,9.41921397891939,0.6,-0.759328515105343
"76","F218_H",15,0.0259248724231205,3.16401346796052,0.0163954197133681,68.6421374051755,5.64042539750967,5.04685521195544,387.468571339233,537.703293402138,3492.28183920874,-281.121589735703,3912.54460210736,3.62689786694443,0.74,-0.794744245131233
"77","F252_H",15,0.0248832006543984,3.6477882411135,0.0157336648975582,42.9048625746676,6.49210866564518,4.97266710407485,334.471586104988,397.971772654039,3020.89441722759,-240.368218233384,3851.53171587105,5.87100987596106,0.65,-0.859301836855904
"78","F353_H",15,0.023276901532822,3.37066145284859,0.015969870480281,70.7072572328565,6.04341002910536,5.63429408120135,342.408329814636,576.289011415479,4383.28618752004,-363.356003186254,4818.02064954989,6.21743394532661,0.34,-0.825290480206186
"79","F354_H",15,0.0215359971482545,3.47552345593292,0.0150643300995097,60.8650568807372,4.7902209202024,4.30450331515741,318.455237506043,652.093227832966,4239.31686249467,-188.817633992699,4124.31998264482,6.5776931830181,0.65,-0.730298745751342
"80","F608_H",15,0.0223953012254934,3.31465233275059,0.0152921102590336,69.528017495823,4.54263873952271,4.35403490792451,325.044569905272,535.694884031122,4295.67051972876,-324.531542861672,5379.39955146757,10.8454868288022,0.44,-0.711532016455822
"81","F618_H",16,0.0231486913061036,3.35774342395881,0.0161312279000263,66.8937826058375,4.26678429926435,4.70408802788802,391.553984489895,642.900556804429,4417.23151391437,-439.310417224515,5547.28819869916,6.27959569402004,0.32,-0.690622249884238
"82","F7001_H",17,0.0248340074269765,2.97552254850631,0.0163954197133681,68.6421374051755,5.58696419966879,4.83941741313203,332.687162197375,564.264002368807,4244.5398411044,-312.937277509516,4419.34318412841,6.01498431294067,0.24,-0.790691886334894
"83","F7019_H",16,0.0261969700032164,3.27123346681835,0.0157494435129443,55.7883835082225,6.3207343031338,6.01166944789678,378.896087377894,507.333571653704,3782.67505783902,-297.250248063266,4457.62747239894,6.0038733680654,0.13,-0.846311660177542
"84","F7025_H",16,0.0255456416234508,3.34363727658569,0.0157494435129443,55.7883835082225,6.31644480396993,4.89310479068215,353.928004633736,502.799227774339,4004.5237872078,-343.788458833225,4866.68636260418,7.59777320948355,0.41,-0.845986516140921
"85","F7028_H",16,0.0234007792083118,3.55085900614713,0.016941698862914,50.1451391321967,5.31263469912845,4.6356212159549,382.091717842681,669.045336532509,4600.2204781954,-337.757568189334,5148.735035715,7.00331713295541,0.54,-0.769897710193936
"87","F7058_H",16,0.0215759523445752,3.4877637823211,0.014982850098208,60.3655729063548,4.8023617554017,4.7112540789082,315.21093792447,625.229208748485,4300.42989900322,-320.413286814162,4569.27220354844,6.45105144101553,0.39,-0.731219021059449
"88","F7081_H",17,0.024775563319694,3.62471130709584,0.0176034536787238,73.8440190712488,7.59174302638861,5.81448696651634,429.413729353358,662.047203743545,4790.09154704905,-371.806146072716,4767.94372738208,5.10992590342061,0.85,-0.942654121400257
"89","F7082_H",16,0.0232348969983432,3.80693950686095,0.0144403433962718,12.5466769071517,6.21279590321801,5.32491493515858,335.928946543205,677.709623946438,3978.15549256559,-322.620092836987,4557.20166194775,4.51159151563671,0.24,-0.838129929463925
"90","F712_H",17,0.0245691105908593,3.12717042699038,0.0182336512637617,73.660790330271,5.42265240955999,5.00001114296331,339.981125857483,579.041416957393,4357.29778037304,-403.715097706741,4951.49806368303,7.86880789646521,0.01,-0.778237052644647
"91","F748_H",16,0.0218480357620921,3.27772092326066,0.0150249790971708,65.84634115675,3.66349667620545,4.36283689687507,370.402168251363,557.802717623726,4701.88743039481,-340.123319284246,5187.27058081031,9.45927326727433,0.45,-0.644893048056373
